entityid;route;rub;age;mois;annee;prd;abd;prf;abf;cumuld;cumulf;long;epaisseurdernierstravaux;anneedernierstravaux;naturedernierstravaux;supportdernierstravaux
03bcd90e-88bc-4e35-96df-54de18032c64;76 D0010;20;0;7;7;42;550;43;660;42028;43134;1106;1,2;2012;ECF-BC;BB
03e7f87e-b530-4336-8233-79bd97a4589d;76 D0025;20;0;11;9;29;715;30;134;29741;30151;410;1;2001;COUL;BBUM
03f90570-dc46-43f7-a0ae-745a5ff3ec4e;76 D0009;20;0;7;7;0;0;2;750;0;2745;2745;4;2002;BB-REP;ES
040b06ea-e96d-4efa-85f8-d8c68f7eafb9;76 D0064;20;0;10;13;20;400;22;688;20459;22788;2329;1;2012;ECF-MC;AC
040d68af-812e-4041-9a49-39f2888c4c85;76 D0916;20;0;11;12;0;0;1;308;0;1308;1308;2;2012;ES-MC;BBTM
04323b84-b7d7-40e3-98aa-c7fec06fef37;76 D0081;20;0;7;11;20;406;22;0;19538;20740;1202;3;1999;BBTM;BB-REP
044ae54d-2c9b-4b3e-bd0e-2ff8e7f59cf5;76 D0105;20;0;7;7;6;0;9;429;5999;9439;3440;1;2006;ES;ES
044dbaad-db33-4d8c-8b38-235a74c83ea6;76 D0003;20;0;11;14;11;135;13;110;11157;13136;1979;1,2;2014;ES-BC;AC
046cdba8-6073-4454-a202-d1a7795f2674;76 D0075;20;0;7;7;26;910;27;534;27117;27749;632;1;2005;COUL;ES
048009c9-acd3-43f4-afb9-8aaa19fecad3;76 D0117;20;0;7;7;6;264;6;760;6287;6783;496;1;2009;COUL;BBUM
048672b7-175c-4221-b9f2-e6371772acd3;76 D0012;20;0;8;8;15;954;16;276;16030;16363;333;1;2008;COUL;ES
048b0074-e169-4923-910c-8d7581ab5e99;76 D0064A;20;0;7;7;0;0;0;32;0;32;32;0,6;2001;ES;ES
048d4660-b477-4781-b411-174a34012b10;76 D0096;20;0;7;7;32;658;33;202;33196;33728;532;6;2005;BB;COUL
049dbc3a-5a46-4dcb-aa7d-55aa07f28670;76 D0033;20;0;7;7;0;0;0;155;0;155;155;4;2004;BB;COUL
049ff99e-409d-450c-ab7a-4b36b536dea0;76 D0454;20;0;7;7;8;501;9;399;8473;9259;786;4;2000;BB;ES
04a13ddc-0793-4484-b9b4-0790067f84fb;76 D0490;20;0;4;8;0;0;0;340;0;340;340;6;1999;BB;BBSP
04a9fbb3-d532-440c-92bc-e57c6c560cd3;76 E0418C1;20;0;1;10;0;0;0;183;0;183;183;6;2008;BBSG;GB
04ad429d-2a7a-4e23-a4a5-55903c409ff8;76 D0028;20;0;7;7;38;745;40;282;39134;40723;1589;1,5;1996;BBUM;GB-REP
04b06fc0-406e-4a96-a6bd-a7cbbcd72b82;76 D0018;20;0;9;12;15;450;15;680;15926;16156;230;5;2013;BBSG;AC
04cad4b2-29f4-4b1c-8b23-db798f772ca2;76 D0111;20;0;7;7;8;387;9;514;8742;10010;1268;6;1999;BB;ES
04cf4ba5-8097-4c90-82bb-8be9dceadb1f;76 D0173;20;0;7;7;10;230;10;238;10085;10093;8;6;1999;BB;BB
04e84038-af41-4dc6-a288-de575811598f;76 D0153;20;0;11;11;3;820;4;335;3944;4471;527;1;1999;ES;BBTM
04ed958d-b407-4afc-837c-73d315e2068d;76 D0921;20;0;7;7;0;0;0;150;0;150;150;4;2012;BBM;AC
04f39cf1-c306-41d9-8c77-b1cdca56ab69;76 D0022;20;0;4;8;15;641;15;730;15674;15763;89;4,5;1997;BBTM;BB
04f59f5a-01b8-4f1a-8778-2fbb0e456e4c;76 D0001;20;0;3;8;29;210;29;358;29139;29287;148;1;1994;BB;ES
04fcb539-57ab-4cd9-aeb8-5853d4dd8273;76 D0298;20;0;7;7;0;0;1;940;0;1945;1945;1;2003;ES;ES
0503c0f5-5947-4038-9734-7f6dac2db764;76 D0982;20;0;9;12;68;930;68;970;75340;75380;40;6;2004;BB;BB
0506da4c-e2c3-46d5-b232-11ffe9fddec5;76 D0913;20;0;9;13;2;790;3;839;2857;3909;1052;1;2003;COUL-S;AC
